Inntekt/Utgift	Kategori L1	Kategori L2	Kategori L3	Kategori L4	Enhet	Kapitel	Postnr	Linje	Beløp
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Tilfeldige inntekter	5309	29	Ymse	400,000,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Statens lånekasse for utdanning	5310	4	Refusjon av ODA-godkjente utgifter	2,000,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Statens lånekasse for utdanning	5310	29	Termingebyrer	1,870,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Statens lånekasse for utdanning	5310	89	Purregebyrer	109,229,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Husbanken	5312	1	Gebyrer m.m.	6,100,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Husbanken	5312	11	Diverse inntekter	91,344,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Innovasjon Norge	5325	70	Låneprovisjoner	70,000,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Siva SF	5326	70	Låne- og garantiprovisjoner	7,000,000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Eksportkredittordningen	5329	70	Gebyrer m.m.	30,000,000
Inntekt	Fastland	Overføring fra Norges bank	Overføring fra Norges bank	-	Overføring fra Norges Bank	5351	85	Overføring	18,974,000,000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter	5701	71	Refusjon ved yrkesskade	768,500,000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter	5701	86	Innkreving feilutbetalinger	1,492,000,000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter	5701	87	Diverse inntekter	26,069,000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter	5701	88	Hjelpemiddelsentraler mv.	110,000,000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Statsgaranti for lønnskrav ved konkurs	5704	70	Dividende	230,000,000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Refusjon av dagpenger	5705	70	Refusjon av dagpenger, statsgaranti ved konkurs	27,000,000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Refusjon av dagpenger	5705	71	Refusjon av dagpenger for grensearbeidere mv. bosatt i Norge	700,000
