Inntekt/Utgift	Kategori L1	Kategori L2	Kategori L3	Kategori L4	Enhet	Kapitel	Postnr	Linje	Beløp
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Tilfeldige inntekter:	5309	29	Ymse	400000000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Statens lånekasse for utdanning:	5310	4	Refusjon av ODA-godkjente utgifter	2000000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Statens lånekasse for utdanning:	5310	29	Termingebyrer	1870000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Statens lånekasse for utdanning:	5310	89	Purregebyrer	109229000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Husbanken:	5312	1	Gebyrer m.m.	6100000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Husbanken:	5312	11	Diverse inntekter	91344000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Innovasjon Norge:	5325	70	Låneprovisjoner	70000000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Siva SF:	5326	70	Låne- og garantiprovisjoner	7000000
Inntekt	Fastland	Inntekter under departementene	Ymse inntekter	-	Eksportkredittordningen:	5329	70	Gebyrer m.m.	30000000
Inntekt	Fastland	Overføring fra Norges bank	Overføring fra Norges bank	-	Overføring fra Norges Bank:	5351	85	Overføring	18974000000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter:	5701	71	Refusjon ved yrkesskade	768500000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter:	5701	86	Innkreving feilutbetalinger	1492000000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter:	5701	87	Diverse inntekter	26069000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Diverse inntekter:	5701	88	Hjelpemiddelsentraler mv.	110000000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Statsgaranti for lønnskrav ved konkurs:	5704	70	Dividende	230000000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Refusjon av dagpenger:	5705	70	Refusjon av dagpenger, statsgaranti ved konkurs	27000000
Inntekt	Fastland	Inntekter under departementene	Folketrygden	Arbeidsgiveravgift og trygdeavgift	Refusjon av dagpenger:	5705	71	Refusjon av dagpenger for grensearbeidere mv. bosatt i Norge	700000
